subjectId,bal,gender,age,vdaq_1,vdaq_2,vdaq_3,vdaq_4,vdaq_5,vdaq_6,vdaq_7,vdaq_8,vdaq_9,vdaq_10,vdaq_11,vdaq_12,vdaq_13,vdaq_14,vdaq_15,vdaq_16,asq_1,asq_2,asq_3,asq_4,asq_5,asq_6,asq_7,asq_8,asq_9,asq_10,asq_11,asq_12,ovs_1,ovs_2,ovs_3,ovs_4,ovs_5,ovs_6,ovs_7,ovs_8,ovs_9,ovs_10,ovs_11,ovs_12,vdaq,asq_int,asq_ext,asq,ovs,ovs_salience,ovs_reactibility,ovs_monitoring,Task,Score
25,a,1,31,4,3,3,3,4,4,2,3,1,2,3,3,4,3,2,2,4,4,5,3,3,5,1,4,2,5,4,5,3,2,3,1,4,4,4,3,2,3,3,2,2.875,3.142857142857143,4.6,3.75,2.8333333333333335,2.25,3.75,2.5,score_2,28
26,b,2,28,3,2,2,4,4,3,3,4,3,3,4,2,3,1,2,3,4,2,2,2,5,6,5,4,4,2,3,3,4,4,2,1,3,4,2,1,4,2,3,3,2.875,4,2.8,3.5,2.75,2.75,2.5,3,score_1,28
26,b,2,28,3,2,2,4,4,3,3,4,3,3,4,2,3,1,2,3,4,2,2,2,5,6,5,4,4,2,3,3,4,4,2,1,3,4,2,1,4,2,3,3,2.875,4,2.8,3.5,2.75,2.75,2.5,3,score_2,24
27,a,1,27,4,3,3,4,4,3,4,1,1,3,2,2,4,4,1,1,5,5,2,2,4,3,6,6,6,5,5,5,5,2,1,1,4,5,4,3,4,5,2,4,2.75,4.571428571428571,4.4,4.5,3.3333333333333335,2.25,4,3.75,score_1,30
27,a,1,27,4,3,3,4,4,3,4,1,1,3,2,2,4,4,1,1,5,5,2,2,4,3,6,6,6,5,5,5,5,2,1,1,4,5,4,3,4,5,2,4,2.75,4.571428571428571,4.4,4.5,3.3333333333333335,2.25,4,3.75,score_2,30
28,b,2,32,3,2,2,1,3,3,2,2,3,3,3,3,4,3,2,1,2,1,1,2,6,2,4,5,5,1,1,3,3,4,2,2,2,2,4,2,3,5,5,2,2.5,3.5714285714285716,1.6,2.75,3,2.75,2.5,3.75,score_1,23
28,b,2,32,3,2,2,1,3,3,2,2,3,3,3,3,4,3,2,1,2,1,1,2,6,2,4,5,5,1,1,3,3,4,2,2,2,2,4,2,3,5,5,2,2.5,3.5714285714285716,1.6,2.75,3,2.75,2.5,3.75,score_2,18
29,a,2,20,3,3,2,4,4,3,4,2,4,4,4,4,4,4,2,3,6,3,4,6,6,5,5,5,6,4,4,5,5,4,1,5,4,4,5,4,5,5,4,4,3.375,5.142857142857143,4.6,4.916666666666667,4.166666666666667,3.75,4.25,4.5,score_1,30
29,a,2,20,3,3,2,4,4,3,4,2,4,4,4,4,4,4,2,3,6,3,4,6,6,5,5,5,6,4,4,5,5,4,1,5,4,4,5,4,5,5,4,4,3.375,5.142857142857143,4.6,4.916666666666667,4.166666666666667,3.75,4.25,4.5,score_2,29
30,b,2,24,2,2,3,4,NA,NA,3,2,1,3,3,3,3,2,4,1,3,2,NA,2,5,2,2,4,4,2,2,2,2,4,2,2,2,2,3,1,3,3,3,1,2.5714285714285716,3,2.25,2.727272727272727,2.3333333333333335,2.5,2,2.5,score_1,29
30,b,2,24,2,2,3,4,NA,NA,3,2,1,3,3,3,3,2,4,1,3,2,NA,2,5,2,2,4,4,2,2,2,2,4,2,2,2,2,3,1,3,3,3,1,2.5714285714285716,3,2.25,2.727272727272727,2.3333333333333335,2.5,2,2.5,score_2,28
31,b,1,24,3,3,4,NA,4,4,3,2,1,2,2,3,4,3,2,2,4,5,2,3,6,3,3,5,2,3,3,6,4,5,2,3,3,4,3,2,4,2,3,2,2.8,3.857142857142857,3.6,3.75,3.0833333333333335,3.5,3,2.75,score_1,7
31,b,1,24,3,3,4,NA,4,4,3,2,1,2,2,3,4,3,2,2,4,5,2,3,6,3,3,5,2,3,3,6,4,5,2,3,3,4,3,2,4,2,3,2,2.8,3.857142857142857,3.6,3.75,3.0833333333333335,3.5,3,2.75,score_2,11
