success,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,subjectId,cond,bal,view_history,rt,stimulus,key_press,accuracy,recall,stimuli,set_size
,html-keyboard-response,78,1342514,0.0-2.0-0.4-2.22,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,null, ,null,,,,
,html-keyboard-response,79,1343520,0.0-2.0-0.4-0.23,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,null,"<div style=""font-size:70px;"">Q<br><br><br><br></div>",null,,,,
,html-button-operationspan,80,1345079,0.0-2.0-0.4-1.23,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,1556,"<div style=""font-size:46px;"">4 - 2 = 2<br><br><br><br></div>",,1,,,
,html-keyboard-response,81,1345084,0.0-2.0-0.4-2.23,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,null, ,null,,,,
,html-keyboard-response,82,1346101,0.0-2.0-0.4-0.24,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,null,"<div style=""font-size:70px;"">R<br><br><br><br></div>",null,,,,
,html-button-operationspan,83,1347951,0.0-2.0-0.4-1.24,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,1846,"<div style=""font-size:46px;"">2 + 6 = 10<br><br><br><br></div>",,1,,,
,html-keyboard-response,84,1347957,0.0-2.0-0.4-2.24,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,null, ,null,,,,
,operation-span-recall,85,1355671,0.0-2.0-1.4,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,7710,,,4,"V,N,Q,R","V,N,Q,R",4
,instructions,86,1356904,0.0-2.0-2.4,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,"[{""page_index"":0,""viewing_time"":1230}]",1231,,,,,,
,html-keyboard-response,87,1357915,0.0-2.0-0.5-0.25,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,null,"<div style=""font-size:70px;"">J<br><br><br><br></div>",null,,,,
,html-button-operationspan,88,1361567,0.0-2.0-0.5-1.25,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,3648,"<div style=""font-size:46px;"">6 - 4 = 2<br><br><br><br></div>",,1,,,
